produit_en_ligne_nom_du_produit,produit_en_ligne_stock_actuel,quantite_vendue,produit_en_ligne_ddm,score,∞ Shopify Id
Maïs bio - 150g,2432,851,2025-07-04,2.7893575300651037,9991717192007
tablette de chocolat noir 72% - 100g,1876,968,2025-10-25,2.711487008911969,9978323075399
Tartelettes chocolat noir bio - 125g,1512,337,2025-06-16,2.6472945591069212,7873797914879
Céréales au beurre de cacahuètes bio - 300g,640,0,2025-09-17,2.638908837076201,10131336036679
Épinards en branche - 380g,1407,276,2025-05-31,2.625880188091209,10032966336839
Tablette de chocolat fleur de sel 47% de cacao - 100g,1261,338,2025-10-15,2.592873376057191,9978322813255
Café moulu espresso Italien Dark - 250 g,5527,105,2026-10-15,2.5892400430574325,7638773629183
Raviolis aux légumes bio - 250g,1215,182,2025-06-30,2.5823627389764128,10005896528199
Beurre de Cacahuètes Crunchy - 340g,1190,397,2025-10-23,2.5753927115101076,10004196557127
Haricots beurres bio - 330g,1139,376,2025-08-31,2.5622981923900374,10032966566215
Beurre de cacahuètes squeeze bio - 320g,1094,133,2025-09-18,2.551418564316972,10017765949767
Émincé végétal à la provençale bio - 220g,1027,362,2025-05-21,2.531299839038693,9998307033415
Mini choc'o lait Les P'tits curieux bio - 168g,989,119,2025-05-28,2.521394816271924,7912436695295
"Bière blonde IPA 5,5% - 33cl",983,285,2025-03-30,2.518361894989802,10077086908743
Mini carrés de chocolat noir - 180g,944,197,2025-05-26,2.5066181045107494,9996099649863
Moutarde de Dijon - 200g,408,0,2025-05-30,2.5041145468128407,10010450362695
Haricots blancs espagnols bouillis bio - 400g,930,230,2025-08-31,2.5019600342653714,10004432486727
Biscuits Ronds Coeur Choco bio - 168g,752,212,2025-05-28,2.438393277260156,7948679545087
Mini boisson châtaigne-riz-avoine bio - 200ml,742,50,2025-08-08,2.4381107741996413,10053078516039
Boisson végétale avoine douceur - 1L,711,73,2025-07-23,2.4238017518019714,10005896069447
