ShipmentId,Date,GeoId,PersonId,ProductId,Boxes,Sales
1,2024-07-13,6,2,7,56,250.1
2,2024-02-18,13,18,12,111,784.52
3,2024-02-09,12,20,7,6,26.89
4,2023-03-08,11,21,7,173,999.31
5,2024-02-13,5,2,15,63,264.22
6,2024-08-04,4,19,2,99,436.2
7,2023-08-11,5,17,9,23,92.48
8,2024-03-16,5,5,11,28,130.65
9,2023-01-23,6,9,2,97,332.41
10,2023-09-12,12,9,14,58,188.59
11,2023-11-16,11,24,12,3,18.69
12,2024-12-19,6,20,2,176,795.43
13,2023-06-06,4,8,7,201,1132.07
14,2023-07-22,11,9,2,81,341.08
15,2023-10-26,2,14,11,10,52.95
16,2024-12-26,9,9,6,16,77.03
17,2024-09-15,4,15,15,24,140.85
18,2023-01-26,9,21,12,121,868.95
19,2023-06-21,7,21,14,63,248.7
20,2024-08-23,2,1,5,115,546.28
21,2023-02-12,5,21,11,150,665.73
22,2024-09-17,8,13,3,143,711.82
23,2023-07-25,11,10,15,101,476.08
24,2024-11-01,14,1,1,189,839.57
25,2023-08-03,2,1,11,3,13.02
26,2023-11-14,11,9,11,36,201.77
27,2024-04-28,10,19,8,132,818.28
28,2023-04-03,1,25,15,19,76.04
29,2024-02-12,5,21,1,42,224.29
30,2024-01-05,3,22,4,20,93.95
31,2024-07-27,3,17,11,18,96.21
32,2024-12-29,5,6,2,77,308.68
33,2024-04-30,4,9,7,44,242.05
34,2023-10-27,10,2,8,160,811.85
35,2023-10-25,3,22,4,122,501.85
36,2023-11-02,3,11,2,137,685.02
37,2024-08-18,13,25,6,178,1241.33
38,2023-08-23,8,11,11,109,502.25
39,2023-05-03,5,9,11,55,309.03
40,2023-09-02,13,19,11,88,357.59
41,2023-01-17,13,18,3,220,1164.21
42,2023-03-19,1,8,15,95,553.67
43,2023-03-07,5,18,9,106,530.53
44,2024-07-18,9,21,14,10,34.35
45,2024-06-12,1,7,4,43,197.25
46,2024-05-24,11,7,15,168,950.78
47,2023-12-04,1,10,1,101,461.58
48,2024-06-08,15,18,11,79,402.91
49,2023-04-28,6,21,14,65,229.84
50,2024-10-20,9,17,13,57,326.6
51,2024-01-02,13,18,10,70,361.04
52,2024-11-16,9,22,1,136,979.91
53,2023-04-22,9,23,6,90,452.35
54,2023-12-30,15,9,4,1,5.51
55,2024-05-24,11,25,2,15,65.0
56,2023-12-29,7,18,3,73,353.21
57,2023-11-23,7,11,6,125,687.25
58,2023-05-02,10,9,11,67,310.77
59,2023-10-06,5,18,10,36,158.08
60,2023-06-24,1,8,2,147,763.11
61,2023-08-09,10,23,4,204,1206.42
62,2024-05-14,10,3,13,74,461.88
63,2024-04-05,9,22,11,74,421.17
64,2024-03-19,5,12,10,6,23.25
65,2023-09-22,1,13,9,28,102.97
66,2024-12-02,3,13,3,69,415.71
67,2023-03-06,9,10,10,29,120.03
68,2023-09-08,1,11,9,4,20.55
69,2023-03-28,10,23,14,80,284.29
70,2023-09-05,3,17,1,215,1027.63
71,2024-12-04,6,24,11,142,705.19
72,2023-09-25,15,4,10,94,466.4
73,2024-10-26,6,23,7,65,370.07
74,2023-12-28,7,20,1,206,1059.68
75,2024-05-26,12,16,15,21,92.82
76,2023-12-01,2,19,3,317,1692.82
77,2023-07-14,6,12,14,15,41.74
78,2024-07-12,8,18,1,89,539.1
79,2024-12-09,5,19,11,92,403.32
80,2023-07-12,15,10,10,131,475.51
81,2024-07-23,12,14,7,118,551.55
82,2023-07-10,1,1,7,47,293.75
83,2024-06-08,15,10,1,109,576.11
84,2024-07-30,4,6,12,105,636.51
85,2023-11-25,3,13,8,162,1140.52
86,2024-06-22,12,14,14,13,36.57
87,2023-07-19,6,15,9,81,320.46
88,2023-02-27,1,5,7,64,335.77
89,2023-03-12,1,9,12,227,1829.27
90,2023-11-23,11,9,5,123,645.88
91,2024-10-21,8,2,9,43,187.67
92,2023-04-04,8,15,10,6,27.16
93,2023-11-30,5,20,8,53,318.3
94,2024-05-29,4,14,12,191,1315.89
95,2023-05-28,13,14,11,220,1175.75
96,2024-06-11,7,24,11,10,36.73
97,2023-08-12,14,2,1,134,823.79
98,2024-08-14,9,13,2,191,680.74
99,2024-02-28,2,13,15,95,591.46
100,2024-02-04,7,23,4,174,958.01
101,2023-05-10,13,10,6,185,814.27
102,2023-12-05,2,7,6,11,53.95
103,2024-09-18,4,13,14,59,213.84
104,2023-01-15,8,20,4,49,260.64
105,2024-07-08,5,13,3,204,1116.41
106,2023-12-27,10,10,8,104,716.1
107,2024-06-09,14,25,11,150,690.2
108,2024-04-29,11,16,13,14,75.8
109,2023-11-12,6,9,4,133,631.49
110,2023-08-14,13,4,4,73,322.62
111,2024-04-03,1,1,6,132,767.6
112,2023-04-13,12,18,13,119,765.27
113,2024-03-02,1,15,3,44,204.61
114,2023-03-11,3,1,1,36,199.15
115,2024-04-20,6,8,15,47,213.86
116,2024-04-04,3,7,9,76,377.49
117,2023-03-03,14,19,6,151,770.24
118,2024-07-07,10,24,4,161,684.79
119,2023-10-31,2,22,1,171,994.2
120,2024-07-29,11,4,9,89,417.24
121,2023-01-31,3,11,4,113,708.53
122,2023-05-12,12,23,5,76,415.08
